number_of_computed,broadcast_time,common_time,dns_time
3000x1024x1024,21.999000,8.156000,4.117000
3333x768x768,17.672000,4.890000,2.760000
490x64x64,0.005000,0.012000,0.007000
200x128x128,0.002000,0.009000,0.006000
500x256x256,0.034000,0.032000,0.032000
750x512x512,0.155000,0.174000,0.153000
1000x178x178,0.024000,0.068000,0.033000
3000x1024x1024,20.441000,7.850000,4.028000
3333x768x768,19.760000,5.409000,2.954000
490x64x64,0.000000,0.007000,0.007000
200x128x128,0.003000,0.017000,0.011000
500x256x256,0.040000,0.035000,0.036000
750x512x512,0.224000,0.182000,0.135000
1000x178x178,0.033000,0.059000,0.028000
3000x1024x1024,21.757000,8.531000,4.092000
3333x768x768,16.872000,4.908000,2.758000
490x64x64,0.000000,0.009000,0.003000
200x128x128,0.005000,0.000000,0.007000
500x256x256,0.048000,0.054000,0.040000
750x512x512,0.191000,0.174000,0.144000
1000x178x178,0.032000,0.057000,0.031000
