number_of_computed,matmul_mono,broadcast_time,common_time,dns_time
3000x1024x1024,31.973000,4.402000,2.983000,4.095000
3333x768x768,18.607000,2.589000,1.650000,2.201000
490x64x64,0.007000,0.001000,0.003000,0.001000
200x128x128,0.010000,0.002000,0.003000,0.003000
500x256x256,0.111000,0.016000,0.026000,0.014000
750x512x512,0.762000,0.121000,0.152000,0.096000
1000x178x178,0.105000,0.017000,0.027000,0.014000
3000x1024x1024,35.119000,6.627000,3.332000,4.036000
3333x768x768,21.058000,3.633000,1.848000,2.523000
490x64x64,0.009000,0.001000,0.004000,0.001000
200x128x128,0.014000,0.003000,0.004000,0.003000
500x256x256,0.148000,0.019000,0.031000,0.014000
750x512x512,1.136000,0.131000,0.196000,0.143000
1000x178x178,0.157000,0.023000,0.032000,0.016000
3000x1024x1024,34.239000,7.149000,2.984000,3.763000
3333x768x768,20.576000,2.541000,1.752000,2.681000
490x64x64,0.009000,0.001000,0.004000,0.002000
200x128x128,0.015000,0.001000,0.004000,0.002000
500x256x256,0.148000,0.018000,0.032000,0.017000
750x512x512,1.208000,0.135000,0.171000,0.132000
1000x178x178,0.150000,0.020000,0.033000,0.017000
