rows,cols,svd_time,singular_values
3000,1024,3.275000,8.766709e+05,2.497111e+04,2.490234e+04,2.478829e+04,2.468859e+04
3333,768,1.740000,8.002254e+05,2.453577e+04,2.442942e+04,2.438420e+04,2.426070e+04
490,64,0.004000,8.830164e+04,8.604815e+03,8.323144e+03,8.231254e+03,8.111446e+03
200,128,0.005000,7.987690e+04,7.162716e+03,6.990288e+03,6.898623e+03,6.776516e+03
500,256,0.037000,1.797186e+05,1.095749e+04,1.072180e+04,1.069200e+04,1.064900e+04
750,512,0.209000,3.097606e+05,1.442825e+04,1.424156e+04,1.413307e+04,1.410127e+04
1000,178,0.029000,2.115684e+05,1.281020e+04,1.274866e+04,1.268091e+04,1.257981e+04
3000,1024,3.888000,8.762539e+05,2.499624e+04,2.479917e+04,2.478411e+04,2.476086e+04
3333,768,1.980000,7.998932e+05,2.448117e+04,2.435209e+04,2.428518e+04,2.426354e+04
490,64,0.000000,8.838206e+04,8.571656e+03,8.355991e+03,8.260820e+03,8.087356e+03
200,128,0.003000,8.017044e+04,7.093677e+03,6.939257e+03,6.881068e+03,6.793071e+03
500,256,0.030000,1.787588e+05,1.089103e+04,1.085829e+04,1.068304e+04,1.056906e+04
750,512,0.176000,3.101417e+05,1.431459e+04,1.421058e+04,1.410730e+04,1.400071e+04
1000,178,0.021000,2.108826e+05,1.284507e+04,1.273659e+04,1.265052e+04,1.255948e+04
3000,1024,4.307000,8.765332e+05,2.495383e+04,2.488674e+04,2.478624e+04,2.468246e+04
3333,768,1.946000,7.998532e+05,2.447298e+04,2.444071e+04,2.435905e+04,2.424075e+04
490,64,0.000000,8.906071e+04,8.673581e+03,8.379871e+03,8.154967e+03,8.104958e+03
200,128,0.004000,8.000805e+04,7.223174e+03,7.015066e+03,6.929253e+03,6.847535e+03
500,256,0.039000,1.795417e+05,1.091253e+04,1.078847e+04,1.074702e+04,1.062092e+04
750,512,0.208000,3.101037e+05,1.434485e+04,1.421002e+04,1.410937e+04,1.398529e+04
1000,178,0.029000,2.108010e+05,1.299250e+04,1.267302e+04,1.263537e+04,1.255157e+04
