number_of_computed,matmul_mono,broadcast_time,common_time,dns_time
3000x1024x1024,33.056000,4.451000,2.884000,3.620000
3333x768x768,21.265000,2.688000,1.785000,2.618000
490x64x64,0.009000,0.002000,0.004000,0.001000
200x128x128,0.015000,0.002000,0.004000,0.002000
500x256x256,0.146000,0.020000,0.032000,0.017000
750x512x512,1.122000,0.147000,0.223000,0.109000
1000x178x178,0.142000,0.020000,0.031000,0.016000
3000x1024x1024,34.117000,4.429000,2.991000,3.854000
3333x768x768,21.340000,2.675000,1.857000,2.500000
490x64x64,0.009000,0.001000,0.004000,0.001000
200x128x128,0.015000,0.002000,0.004000,0.003000
500x256x256,0.145000,0.021000,0.030000,0.017000
750x512x512,1.144000,0.135000,0.179000,0.107000
1000x178x178,0.138000,0.019000,0.032000,0.016000
3000x1024x1024,34.459000,4.516000,3.011000,3.717000
3333x768x768,20.662000,3.191000,1.832000,2.520000
490x64x64,0.008000,0.002000,0.003000,0.001000
200x128x128,0.015000,0.002000,0.005000,0.002000
500x256x256,0.145000,0.021000,0.033000,0.020000
750x512x512,1.198000,0.170000,0.181000,0.108000
1000x178x178,0.139000,0.020000,0.033000,0.016000
