number_of_computed,matmul_mono,broadcast_time,common_time,dns_time
3000x1024x1024,33.967000,8.200000,10.873000,2.531000
3333x768x768,21.079000,3.036000,6.424000,1.280000
490x64x64,0.007000,0.001000,0.003000,0.002000
200x128x128,0.011000,0.002000,0.004000,0.003000
500x256x256,0.105000,0.018000,0.032000,0.023000
750x512x512,0.810000,0.132000,0.205000,0.130000
1000x178x178,0.111000,0.017000,0.034000,0.022000
3000x1024x1024,33.288000,6.115000,7.383000,2.350000
3333x768x768,21.811000,3.162000,6.465000,1.719000
490x64x64,0.011000,0.001000,0.005000,0.003000
200x128x128,0.016000,0.003000,0.006000,0.004000
500x256x256,0.158000,0.024000,0.054000,0.027000
750x512x512,1.222000,0.163000,0.358000,0.153000
1000x178x178,0.148000,0.021000,0.054000,0.029000
3000x1024x1024,34.486000,5.316000,10.101000,2.477000
3333x768x768,21.705000,3.035000,5.129000,1.388000
490x64x64,0.007000,0.001000,0.004000,0.003000
200x128x128,0.014000,0.002000,0.005000,0.003000
500x256x256,0.114000,0.018000,0.050000,0.023000
750x512x512,0.894000,0.133000,0.293000,0.136000
1000x178x178,0.106000,0.018000,0.037000,0.022000
