matrix_size,computation_time_seconds
768,58.769000
64,0.032000
128,0.241000
256,2.120000
512,18.479000
178,0.587000
1024,223.877000
768,61.506000
64,0.032000
128,0.236000
256,2.020000
512,19.487000
178,0.574000
1024,205.860000
768,59.463000
64,0.028000
128,0.221000
256,1.840000
512,19.552000
178,0.594000
