number_of_computed,matmul_mono,broadcast_time,common_time,dns_time
3000x1024x1024,31.224000,4.325000,3.039000,3.847000
3333x768x768,21.398000,2.696000,1.820000,2.438000
490x64x64,0.009000,0.001000,0.003000,0.002000
200x128x128,0.014000,0.002000,0.004000,0.002000
500x256x256,0.145000,0.020000,0.031000,0.017000
750x512x512,0.988000,0.135000,0.174000,0.114000
1000x178x178,0.135000,0.020000,0.031000,0.016000
3000x1024x1024,32.635000,4.841000,3.264000,3.854000
3333x768x768,21.379000,2.666000,1.892000,2.492000
490x64x64,0.009000,0.001000,0.004000,0.001000
200x128x128,0.014000,0.002000,0.005000,0.002000
500x256x256,0.142000,0.021000,0.032000,0.016000
750x512x512,1.096000,0.149000,0.177000,0.117000
1000x178x178,0.149000,0.019000,0.033000,0.017000
3000x1024x1024,33.544000,4.653000,3.230000,3.941000
3333x768x768,20.868000,2.754000,2.057000,2.374000
490x64x64,0.009000,0.001000,0.003000,0.002000
200x128x128,0.015000,0.003000,0.004000,0.002000
500x256x256,0.162000,0.029000,0.049000,0.018000
750x512x512,1.145000,0.145000,0.174000,0.122000
1000x178x178,0.166000,0.021000,0.032000,0.019000
